language_code,speakers,language
deu,200,German
eng,1800,English
nld,23,Dutch
afr,15,Afrikaans
ltz,0.4,Luxembourgish
bar,14,Bavarian
frr,0.01,Northern Frisian
ksh,0.25,Kölsch
lim,1.5,Limburgan
nds,10,Low German
pfl,1,Pfaelzisch
cat,10,Catalan
hrv,5.6,Croatian
dan,6,Danish
epo,0.5,Esperanto
est,1.1,Estonian
fin,5.4,Finnish
fra,274,French
gle,1.9,Irish
glg,2.4,Galician
isl,0.3,Icelandic
ita,85,Italian
jav,82,Javanese
knn,2.3,Konkani
pap,0.3,Papiamento
por,223,Portuguese
ron,30,Romanian
slv,2.5,Slovenian
spa,483,Spanish
swa,90,Swahili
swe,20,Swedish
gsw,5,Swiss-German
